name,sell_price,sell_listings
Arctic Hunter's Ice Axe,$0.03,597
Arctic Hunter's Parka,$0.03,357
Arctic Hunter's Snack,$0.03,558
Arctic Hunter's Tusks,$0.03,591
Arctic Recluse,$2.45,41
Arctic Watchtower,$0.14,91
Ardor of the Scarlet Raven Set,$0.09,146
Arena Champion,$4.14,158
Arena Champion Armor,$2.38,134
Arena Champion Belt,$0.35,134
Arena Champion Shield,$1.01,96
Arena Champion Spear,$0.08,70
Argent Spear,$3.77,10
Aria of the Wild Wind,$0.03,513
Aria of the Wild Wind Set,$0.03,200
Arm Fins of the Deepweed Drowner,$0.03,1016
Arm Guard of the Ram's Head,$0.03,545
Arm Guards of Prosperity,$0.03,1454
Arm Harness of Incantations,$0.03,489
Arm of the Dragon's Disciple,$0.10,87
Arm of the Odobenus One,$0.06,135
Armageddon Dota 2 Grand Slam!,$12.49,4
Armaments of Leviathan Set,$0.30,100
Armaments of the Dragon Emperor Set,$1.54,28
Armaments of the Night Grove,$0.50,43
Armaments of the Night Grove Loading Screen,$0.03,270
Armaments of the Vespidun Hunter-Killer,$0.26,29
Armature of the Belligerent Ram,$1.87,51
Armature of the Belligerent Ram Belt,$0.04,122
Armature of the Belligerent Ram Glove,$0.03,190
Armature of the Belligerent Ram Helm,$0.05,138
Armature of the Belligerent Ram Loading Screen,$0.03,369
Armature of the Belligerent Ram Pauldron,$0.03,190
Armature of the Belligerent Ram Shoulder,$0.04,121
Armature of the Belligerent Ram Sword,$0.04,191
Armband of the Spelunker,$2.33,8
Armbands of Shamanic Light,$0.03,199
Armblade of the Chiseled Guard,$0.03,1346
Armguard of the Steppe,$0.03,839
Armguard of the Warbringer,$0.03,198
Armguards of Big 'Un,$0.03,233
Armguards of the Darkbrew Enforcer,$1.70,35
Armguards of the Dwarf Engineer,$0.04,173
Armguards of the Equilibrium,$0.43,23
Armguards of the Fractured Order,$0.04,105
Armguards of the Longbeard Dwarf Engineer,$2.54,24
Armguards of the Penitent Nomad,$0.03,937
Armguards of the Silent Edict,$0.03,191
Armguards of the Smoldering Sage,$0.10,71
Armguards of the Stalwart,$0.03,1692
Armguards of Twisted Maelstrom,$0.66,32
Armlet of Discord,$0.03,1544
Armlet of Reckless Vigor,$1.00,35
Armlet of Renewed Faith,$0.03,893
Armlet of the Basilisk,$0.11,88
Armlet of the Dragon Guard,$0.03,1424
Armlet of the Wrathrunner,$0.11,69
Armlets of Command,$0.03,1076
Armlets of Teardrop Ice,$0.03,846
